question_id,answer
262148000," He is looking at the crowd
"
262148001," They are watching the skateboarder perform tricks
"
262148002," A skateboard
"
393225000, the image is from the website                        
393225001," Yes
"
393225002," yes
"
393225003," a bowl of noodles and shrimp
"
393226000," He is crossing the street
"
393226001," 3
"
393226002," ice cream
"
240301000," The roof is not attached to the wall.
"
240301001," Yes
"
240301002," The cow is laying down because it is tired.
"
131089000," Green
"
131089001," Yes
"
131089002," One
"
131089003," Yes
"
131089004," Yes, he is playing baseball
"
262162000," Yes, it is a folding chair
"
262162001," one
"
262162002," white
"
262162003," 3
"
262162004," Yes, they are twin mattresses.                      "
262162005," there are two sources of light
"
262162006," Yes, it is.                         "
262162007," Yes, the lights are on in this room
"
262162008," Yes, the windows are big.
"
262162009," wood
"
262162010," Yes, it is in a home
"
262162011," the bedroom
"
262162012," Yes, the bed is white.
"
262162013," Yes, it is a hotel room
"
262162014," Yes, the bed is made
"
262162015," Yes, there are bed headboards present in the photo.
"
262162016," Yes, there is a mirror in the room.
"
262162017," A bedroom
"
262162018," 3
"
262162019," No, it is clean and organized
"
262162020," Yes, the bed is made
"
262162021," 2
"
262162022," 3
"
262162023," white
"
262162024," No, there are no boxes in the room.
"
262162025," Yes, it could be a multi-purpose room.
"
262162026," a zebra
"
262162027," a desk and a computer
"
262162028," a twin bed
"
262162029," 3
"
393243000," Yes
"
393243001," a donut
"
393243002," Yes
"
393243003," Blonde
"
262175000," No, it is green.
"
262175001," The picture was taken in the woods
"
262175002," A tie
"
262175003," Yes, it is a tie.
"
131108000," Yes
"
131108001," inward
"
131108002," No
"
393254000," This is a camping trailer
"
393254001," a motor home
"
393254002," The camping tent is in the picture.
"
42000," white
"
42001," No
"
42002," white
"
131115000," Yes, there are players in the dugout.
"
131115001," Yes
"
131115002," 3
"
262189000," 4
"
262189001," white
"
262189002," land's end, land's end, land's end, land's end
"
393266000," red
"
393266001," Yes, you can turn right or left in the tunnel.
"
393266002," green
"
393267000," It is a dark blue
"
393267001," Wine
"
393267002," The people are wearing hats because they are at a wine tasting.
"
393267003," A wine tasting
"
262197000," There are two buildings in the image
"
262197001," brown
"
262197002," Yes, there is a tree in front of the building
"
262197003," Yes
"
262197004," Yes
"
262197005," three
"
262197006," No, it is a university
"
262197007," 3
"
262197008," three
"
262197009," a backpack
"
262197010," three
"
262197011," brown
"
393271000," Yes
"
393271001," Yes, it is a photo of multiple exposures of the black clad snowboarder.
"
393271002," 5
"
262200000," Yes
"
262200001," a birthday party
"
262200002," the children are in front of the cake with candles
"
393274000," A train
"
393274001," Yes, the train is hooked up to the tracks
"
393274002," Yes, it is at the station
"
393274003," A cast is a cast of a person
"
393274004," It is a train station
"
393274005," No, there is not smoke coming out of the train.
"
393274006," Yes
"
393274007," Yes, the train tracks are clear
"
131131000," The cat is a domestic shorthair
"
131131001," the cat is looking at the tv
"
131131002," 2
"
393277000," No
"
393277001," a clock tower
"
393277002," Yes
"
393277003," 2013
"
393277004," blue
"
393277005," 10:30
"
393277006," Yes
"
393277007," Yes
"
393277008," It is cloudy.
"
393277009," The building is white
"
393277010," It is about 8:30 in the morning
"
393277011," No
"
393277012," the clock tower in the center of the picture
"
393277013," No, it's a clock tower
"
393277014," Yes
"
393277015," white
"
393277016," a clock
"
393282000," Yes
"
393282001," Two giraffes
"
393282002," Yes
"
393282003," Two giraffes can be seen in the image
"
393282004," Yes
"
393282005," The giraffes are in a zoo
"
393282006," No, they are eating the grass for lunch
"
393282007," No, there is no body of water in the picture.
"
393282008," The giraffe is standing in front of the giraffe
"
393282009," 2 giraffe
"
393282010," In the wild
"
393282011," giraffes and zebras
"
393284000," No, it is a snowboarder in the air
"
393284001," A snowboard
"
393284002," He is snowboarding
"
393284003," Snowboarding
"
393284004," Yes, he is snowboarding.
"
393284005," No, there is no snow on the trees.
"
393284006," No, he is jumping on a snowboard
"
393284007," No, he is just jumping off of the snowboard.
"
393284008," Red jacket
"
393284009," He is snowboarding
"
393284010," The pattern is a snowboarder's name.
"
393284011," Yes, he is going to land.
"
393284012," Snowboarding
"
393284013," A snowboarder
"
393284014," Yes, he does.
"
393284015," Red
"
393288000," It is a church
"
393288001," red
"
393288002," red
"
393288003," They are parked in front of the church
"
393288004," A church
"
524361000," It is on the bike
"
524361001," 1
"
524361002," The bird's feathers are gray
"
74000," Yes
"
74001," on the sidewalk
"
74002," The dog is sleeping on the street
"
131152000," No, they are not.
"
131152001," The waves are small.
"
131152002," 4
"
131152003," Yes, they are wet.
"
262227000," Yes, there are pill bottles
"
262227001," A sign that says ""Welcome""
"
262227002," Yes, it is a popular model.
"
262227003," red
"
262228000," The ground is made of bricks
"
262228001," The bicycles are chained to the bike racks
"
262228002," Bicycles
"
262228003," Yes, they are comfortable chairs.
"
262228004," They are chained at a bike rack
"
262228005," Bikes
"
262229000," The girls are playing soccer
"
262229001," soccer
"
262229002," No, they are not professionals.
"
262229003," 3
"
262229004," The women are playing soccer.
"
262229005," Hair
"
262229006," soccer
"
131159000," In the car
"
131159001," Yes, the bear is real.
"
131159002," yellow
"
262235000," She is smiling
"
262235001," curtains
"
262235002," white
"
262235003," A cell phone
"
262235004," The woman is smiling
"
262235005," It is a woman
"
262235006," She is talking on the phone
"
524382000," They are beagles
"
524382001," The dogs are behind a fence
"
524382002," Yes, they are all looking in the same direction.
"
262242000," The ball
"
262242001," The net
"
262242002," Yes, he does.
"
262242003," Green
"
262242004," Yes, they are tired.
"
262242005," Yes
"
262242006," Yes, he is playing doubles.
"
262242007," Yes, both men are wearing hats.
"
262242008," No, they are just playing tennis.
"
131171000," Yes, it is bread
"
131171001," two bins
"
131171002," No, it looks like a meal that is unhealthy
"
262161000," 3
"
262161001," Yes, it is new.
"
262161002," Yes
"
262161003," a motorcycle
"
262161004," The number is the registration number of the vehicle
"
262161005," The number is the registration number of the vehicle
"
262161006," it is a scooter
"
262161007," silver
"
262161008," The bike in the foreground has a single seat
"
262161009," No, the motorcycle is not blocked by the blue container
"
262161010," a car
"
262161011," silver
"
262161012," 4
"
262161013," it is a red motorcycle
"
262161014," Yes, it is a motorcycle
"
262161015," silver
"
262161016," a car show
"
262161017," Yes, it is propped up
"
262161018," 1
"
262161019," a silver and blue motorcycle
"
262161020," Yes, they are both the same size.
"
524392000," silver
"
524392001," Yes
"
524392002," Refrigerator
"
262262000," Yes
"
262262001," Yes
"
262262002," A clock tower
"
393338000," yellow and red
"
393338001," Tulips
"
393338002," The vase is yellow
"
262274000," Lifeguard
"
262274001," Lifeguard
"
262274002," Lifeguard
"
262274003," 4
"
262274004," No
"
262274005," Yes
"
262274006," Yes, there are palm trees on the board.
"
262274007," No.
"
262275000," She is about 4 years old
"
262275001," brown
"
262275002," Yes, she is sitting on the horse correctly.
"
262275003," Yes
"
262275004," A helmet
"
133000," white
"
133001," Yes
"
133002," a twin size mattress
"
131207000," Two
"
131207001," Three birds can be seen
"
131207002," Yes
"
131207003," Yes
"
131207004," White
"
131207005," The birds are egrets
"
131207006," The bench is white
"
131207007," Yes
"
136000," Yes
"
136001," Two giraffes and two people
"
136002," Giraffe
"
139000," She is standing in the middle of the room
"
139001," 3
"
139002," yellow
"
139003," yellow
"
262284000," Two
"
262284001," A shower
"
262284002," No, the floor is not tilted.
"
262284003," bathroom
"
143000," The birds' tails are gray
"
143001," There are six birds in the tree
"
143002," There are six birds in the picture.
"
240323000," Yes, there is meat on this plate.
"
240323001," Yes, it is a vegetarian meal
"
240323002," avocado
"
524436000," Yes, there is a woman sitting on this bench.
"
524436001," On a bench
"
524436002," Yes, there are cars in the picture.
"
524436003," A bench
"
524436004," No
"
524436005," Yes
"
393372000," Yes
"
393372001," Yes, her eyes are visible
"
393372002," Yes
"
393372003," purple
"
393372004," Yes
"
393372005," This is a female
"
393372006," This is a man
"
393372007," a septum piercing
"
393372008," The left ear
"
393372009," Yes
"
393372010," purple
"
393372011," a black shirt
"
393372012," Blue
"
393372013," purple
"
393372014," The man's purple hair and tie are a bit of a departure from the conservative business attire.
"
393372015," Her hair is straight
"
393372016," Yes
"
393372017," Yes
"
393372018," Yes
"
393372019," Yes, the person has a nose piercing
"
393372020," She is looking at the camera
"
393372021," No
"
393372022," Yes
"
524450000," a bus
"
524450001," The ducks are in the bus.
"
524450002," No, it is a bus.
"
524450003," Yes, they are going to board a train.
"
524450004," a bus
"
524450005," gray
"
524450006," The bus is parked in a parking lot.
"
524450007," The bus is parked in a parking lot
"
524450008," gray
"
524450009," a bus
"
524450010," Yes, there are people inside the bus.
"
524450011," Yes, it is a tour bus
"
524450012," a camera
"
524450013," Yes
"
524450014," it is a picture of a bus
"
524450015," 3
"
524450016," No, they are just standing there.
"
524450017," It is sunny and warm
"
524450018," Yes, there is a container available for trash.
"
524450019," the bus
"
524450020," concrete
"
524450021," gray
"
524450022," Yes, the lights are on at the bottom of the bus
"
524450023," a motorcycle
"
524450024," It is located in a parking lot
"
164000," 3
"
164001," white
"
164002," Yes
"
164003," white
"
524456000," 2
"
524456001," Yes, the person is driving a car
"
524456002," Yes
"
524459000," A guinea pig
"
524459001," The man is using a laptop computer
"
524459002," Yes
"
436936000," 3
"
436936001," The animal is on a tree branch
"
436936002," A black bear
"
262323000," an ostrich
"
262323001," The giraffe is standing in the grass and the ostrich is standing on the ground
"
262323002," Giraffe, ostrich, and bird
"
262323003," Yes
"
262325000," The vegetables are green
"
262325001," No, it is a healthy snack.
"
262325002," Yes, the vegetables are cooked.                       "
262325003," Broccoli, carrots, and meat
"
262334000," Yes
"
262334001," A hat
"
262334002," Inside
"
262334003," wood
"
192000," Baseball
"
