question_id,answer
262148000," He is looking at the crowd
"
262148001," They are watching a skateboarder perform tricks
"
262148002," A skateboard
"
393225000, the picture is from a website called   
393225001," it is a noodle soup
"
393225002," yes, it is a soup with shrimp, carrots"
393225003," a bowl of noodles and shrimp
"
393226000," he is crossing the street
"
393226001," there are two photo's
"
393226002," ice cream
"
240301000, The cows are in a stall.   
240301001," Yes, it is daylight.  The sun is"
240301002," it is resting
"
131089000," black and white
"
131089001," Yes, the batter hit the ball
"
131089002," one is swinging the bat
"
131089003," Yes, there is a chain link fence in the"
131089004," Yes, he is playing baseball
"
262162000," yes, it is a folding chair
"
262162001," one bed and a desk
"
262162002," white
"
262162003," there are two pictures on the wall
"
262162004," yes, they are twin mattresses
"
262162005," there are two windows and a desk lamp
"
262162006," yes, it is
"
262162007," yes, the lights are on in this room
"
262162008," yes, the windows are big
"
262162009," it is a leather chair
"
262162010," yes, it is a bedroom
"
262162011," the bedroom
"
262162012," yes, the bed is white
"
262162013," yes, it is a hotel room
"
262162014," yes, the bed is made
"
262162015," yes, there are bed headboards present in the"
262162016," yes, there is a mirror in the room
"
262162017," a bedroom
"
262162018," there are two chairs in the photo
"
262162019," no, it is clean and organized
"
262162020," yes, the bed is made
"
262162021," one chair and one desk
"
262162022," there are two frames on the wall
"
262162023," white
"
262162024," yes, there are boxes in the room
"
262162025," yes, it could be a bedroom, office,"
262162026," a zebra
"
262162027," a computer desk
"
262162028," a twin bed
"
262162029," two
"
393243000," no
"
393243001," a donut
"
393243002," yes
"
393243003," brown
"
262175000," it is a tie with a crown on it
"
262175001," in the woods
"
262175002," a tie
"
262175003," it is a tie made of leaves
"
131108000," yes
"
131108001," inward
"
131108002," yes, there is a drainage in the pic
"
393254000," ""this is a camping trailer""
"
393254001," a motor home
"
393254002, the camping tent is in the back of the truck
42000," white
"
42001," no, there is a dog
"
42002," white
"
131115000," Yes, there are players in the dugout
"
131115001," the batter is looking at the ball
"
131115002," there are three people on the field
"
262189000," four
"
262189001," green
"
262189002," land's end, london street, cranks"
393266000," red
"
393266001," you can turn right or left
"
393266002," green
"
393267000," black
"
393267001," wine
"
393267002," they are tasting wine
"
393267003," a wine tasting
"
262197000," there are two
"
262197001," brown
"
262197002," yes, there is a tree in front of the"
262197003," yes, there is a person riding a bike
"
262197004," yes
"
262197005," it is a three story building
"
262197006," yes, it is a hospital
"
262197007," two
"
262197008," the building is painted white
"
262197009," a person
"
262197010," a bus, a car, and a pedestrian
"
262197011," brown
"
393271000," Yes, it is snowing in the picture."
393271001," Yes, it is a composite of multiple exposures."
393271002," there are six people in the picture
"
262200000," it is a children's party
"
262200001," a birthday party
"
262200002, the children are in front of the cake with candles
393274000," A train
"
393274001," Yes, it is there. 

 QUESTION"
393274002," Yes, it is.
"
393274003," a train
"
393274004," a train station
"
393274005," No, it is just a train
"
393274006," Yes, it is.     "
393274007," Yes, the train tracks are clear
"
131131000," a domestic shorthair
"
131131001,          
131131002," one cat
"
393277000," yes, there are several tour buses
"
393277001," a clock tower
"
393277002," yes
"
393277003," the car is from the year of the car
"
393277004," it is a light blue
"
393277005," it is 10:30 am
"
393277006," yes, there are a lot of people milling"
393277007," yes, it is a clock tower
"
393277008," it is cloudy and rainy
"
393277009," it is a gray building
"
393277010," it is time to go to work
"
393277011," no, it's just a cloudy day
"
393277012," the clock tower at the old town hall
"
393277013," it's a clock tower
"
393277014," yes
"
393277015," it is white
"
393277016," a clock
"
393282000," yes, the giraffe is a baby
"
393282001," two giraffes
"
393282002," yes, the giraffes are in the shade"
393282003," two giraffes in the picture
"
393282004," yes, they are in the wild
"
393282005," it is a giraffe exhibit
"
393282006," No, they are eating the grass for lunch
"
393282007," no
"
393282008," a tent
"
393282009," two giraffe
"
393282010," in the wild
"
393282011," giraffes and zebras
"
393284000," It is a snowboarder in the air
"
393284001," A snowboard
"
393284002," He is snowboarding
"
393284003," snowboarding
"
393284004," Yes, he is snowboarding
"
393284005," Yes, there is snow on the trees.
"
393284006," Yes, he is flying on his snowboard
"
393284007," Yes, he is flying off of the ski slope"
393284008," A yellow jacket and red pants
"
393284009," He is snowboarding
"
393284010, The snowboarder is wearing a red and yellow
393284011," He is going to land.
"
393284012," Snowboarding
"
393284013," A snowboarder in the air
"
393284014," Yes, he is wearing goggles.
"
393284015," RED
"
393288000," a church
"
393288001," brown
"
393288002," red
"
393288003," they are parked in front of the church
"
393288004," a church
"
524361000," it is on the bike
"
524361001," one bird
"
524361002," gray
"
74000," yes
"
74001," on the sidewalk
"
74002," sleeping
"
131152000," Yes, they are. 

 A man riding"
131152001, they are good.  they are good. 
131152002," one
"
131152003," Yes, they are wet.
"
262227000," yes, there are pill bottles
"
262227001," a sign that says ""no smoking""
"
262227002," the computer is a popular model
"
262227003," it is red
"
262228000," concrete
"
262228001, because they are not allowed to be parked on the
262228002," bicycles
"
262228003," no, they are bike racks
"
262228004," on a bike rack in front of a building
"
262228005," bicycles
"
262229000," A soccer ball
"
262229001," soccer
"
262229002," No, they are not professionals.  They are"
262229003,          
262229004, They are women.      
262229005," they are wearing soccer uniforms
"
262229006," soccer
"
131159000," In the car
"
131159001," Yes, it is a stuffed animal
"
131159002," yellow
"
262235000," she is smiling
"
262235001," a curtain
"
262235002," white
"
262235003," a cell phone
"
262235004," the woman on the phone
"
262235005," a woman
"
262235006," she is talking on the phone
"
524382000," they are beagles
"
524382001," the fence
"
524382002," Yes, they are all looking in the same direction"
262242000," the ball
"
262242001," a tennis net
"
262242002," he is playing with his son
"
262242003," green
"
262242004," they are playing doubles tennis
"
262242005," yes, it is blue
"
262242006," yes, he is playing doubles
"
262242007," yes, they are
"
262242008," No, they are just playing tennis
"
131171000," it is a sandwich
"
131171001," two
"
131171002," it looks like a healthy meal
"
262161000," three
"
262161001," yes, it is a new bike
"
262161002," yes
"
262161003," a motorcycle
"
262161004," it is a motorcycle
"
262161005," it is a motorcycle
"
262161006," it is a ducati
"
262161007," silver
"
262161008," it is a single seat
"
262161009," the blue container is a car
"
262161010," a car
"
262161011," silver
"
262161012," there are three motorcycles and two cars
"
262161013," it is a red motorcycle
"
262161014," it is a motorcycle
"
262161015," silver
"
262161016," a car show
"
262161017," yes, it is propped up
"
262161018," the number is one
"
262161019," it is a silver motorcycle
"
262161020," the silver one is a smaller model
"
524392000," silver
"
524392001," yes, the light is on
"
524392002," Refrigerator
"
262262000," yes, the clock is correct
"
262262001," yes, it is overcast
"
262262002," a clock tower
"
393338000," yellow and red
"
393338001," tulips
"
393338002," yellow and red
"
262274000," a lifeguard
"
262274001," lifeguard
"
262274002," lifeguard
"
262274003," one lifeguard board
"
262274004," no
"
262274005," yes, the surf is low
"
262274006," Yes, there are palm trees on the board."
262274007," yes
"
262275000," she is probably about 4 years old
"
262275001," brown
"
262275002," Yes, she is sitting on the horse correctly
"
262275003," Yes, it is.  It is a saddle"
262275004," a helmet
"
133000," white
"
133001," yes
"
133002," a twin size mattress
"
131207000," two white birds on a dock
"
131207001," two
"
131207002," Yes, they are touching the water
"
131207003," the water is calm
"
131207004," white and black
"
131207005," cranes
"
131207006," it is white
"
131207007," Yes, they are flamingos
"
136000," yes, it is in a museum
"
136001," two giraffes
"
136002," giraffe
"
139000," she is preparing to cook dinner
"
139001," one yellow vase
"
139002," yellow
"
139003," yellow
"
262284000," one set of doors is open
"
262284001," a shower with a glass door
"
262284002," the floor is not tilted
"
262284003," a bathroom
"
143000," the birds are gray
"
143001," there are six birds in the tree
"
143002," black birds
"
240323000," yes, there is meat on this plate
"
240323001," yes, it is a vegetarian meal
"
240323002," avocado
"
524436000," yes, there is a woman sitting on this bench"
524436001," on a bench in a park
"
524436002," yes
"
524436003," a bench
"
524436004," yes, it is raining
"
524436005," yes
"
393372000," yes, it is blue
"
393372001," yes, they are open
"
393372002," yes, she is wearing long sleeves
"
393372003," PURPLE
"
393372004," no, she is not smiling
"
393372005," a female
"
393372006," a man
"
393372007," a septum piercing
"
393372008," the left ear
"
393372009," she looks like she is posing for a picture
"
393372010," purple
"
393372011," a black shirt with a tie
"
393372012," purple
"
393372013," purple
"
393372014," he is wearing a tie and purple hair
"
393372015," curly
"
393372016," yes
"
393372017," yes
"
393372018,          
393372019," the person has a nose ring
"
393372020," she is looking at the camera
"
393372021," no, she is not
"
393372022," yes, but it's not the focus of the"
524450000," a bus with a large image on the side
"
524450001," they are in the parking lot
"
524450002," it is a bus with a camera on it
"
524450003," yes, they are going to board a train
"
524450004," a bus with a large image on it
"
524450005," black and white
"
524450006," it is raining
"
524450007," because it is a bus
"
524450008," a grey and black bus
"
524450009," a bus
"
524450010," yes, there are people inside the bus
"
524450011," yes, it is a tour bus
"
524450012," a camera
"
524450013," yes
"
524450014," it is a picture of a bus
"
524450015," two people are boarding the bus
"
524450016," no, they are waiting for the next one
"
524450017," it is sunny and warm
"
524450018," yes, there is a container available for trash
"
524450019," a bus with a large image on it
"
524450020," concrete
"
524450021," black and white
"
524450022," yes, they are
"
524450023," a bus
"
524450024," in a parking lot
"
164000," one
"
164001," white
"
164002," yes, the light is on
"
164003," white
"
524456000," two
"
524456001," a car
"
524456002," yes
"
524459000," a man
"
524459001," desktop computer
"
524459002," he is working on his laptop
"
436936000," one
"
436936001," it is on a tree branch
"
436936002," a black bear in a tree
"
262323000," an ostrich
"
262323001, the giraffe is standing in the grass and the
262323002," A giraffe and an ostrich
"
262323003," yes, the giraffes head is small
"
262325000," they are very green
"
262325001," Broccoli and carrots are healthy foods
"
262325002," yes, they are cooked
"
262325003," broccoli and carrots in a white bowl
"
262334000," yes
"
262334001," a baseball cap
"
262334002," she is inside
"
262334003," wood
"
192000," baseball
"
192001," the catcher is wearing a catcher's mask
"
192002, the chicago cubs and the red sox
393410000," Yes, it is a propeller plane
"
393410001," It is taking off
"
393410002," Yes, this was taken at sunset.
"
393410003," no, it is still light out
"
393410004," white
"
393410005," airplanes
"
393410006," no, there are no clouds in the sky
"
393410007," Yes, it is flying too low
"
