question_id,answer
262148000, He is looking at the crowd.  He is
262148001, They are watching the skateboarder jump over the
262148002, A skateboarder is jumping over a picnic table
393225000,          
393225001,          
393225002,          
393225003,          
393226000, he is crossing the street to get to the ice
393226001,          
393226002," ICE CREAM
"
240301000, The cows are in a barn.  The cows
240301001," No, it is not daylight in this picture."
240301002, The cow is laying down because it is tired.
131089000," BLACK and WHITE
"
131089001," No, the batter missed the ball
"
131089002, A young boy is swinging a bat in a yard
131089003," Yes, there is a fence in the image
"
131089004," Yes, he is playing baseball
"
262162000," Yes, it is a folding chair
"
262162001,          
262162002,          
262162003,          
262162004," No, they are twin beds.  The bed"
262162005,          
262162006," No, this is a room that is decorated for"
262162007," Yes, the lights are on in this room
"
262162008," Yes, the windows are big.
"
262162009,          
262162010," Yes, this is a bedroom in someone's home"
262162011," This is a bedroom with a desk and chair
"
262162012," Yes, the bed is white
"
262162013," No, this is a bedroom
"
262162014," Yes, the bed is made.
"
262162015,          
262162016," No, there is not a mirror in the room"
262162017," A bedroom with a desk and a bed
"
262162018,          
262162019," No, the desk is not cluttered
"
262162020," Yes, the bed has been made
"
262162021,          
262162022,          
262162023,          
262162024," No, there are no boxes in the room
"
262162025,          
262162026," A chair with a print of a cat
"
262162027," A desk and chair
"
262162028,          
262162029,          
393243000, NO!        
393243001," A donut.











"
393243002," NO, this is not a tie
"
393243003," BLONDE
"
262175000," No, it is a leaf.
"
262175001," The picture was taken in the woods
"
262175002," A tie with a leaf on it.
"
262175003," No, it is a man wearing a tie made"
131108000," No, this is a black and white photo
"
131108001," the door opens outward
"
131108002,          
393254000," this is camping, this is ridiculous
"
393254001," This is a camper trailer
"
393254002, this is a picture of a tent and a motor
42000,          
42001," No, there is not a red sandal here"
42002,          
131115000," Yes, there are players in the dugout
"
131115001," Yes, the batter is looking at the ball
"
131115002,          
262189000,          
262189001,          
262189002,          
393266000," RED
"
393266001, You can turn right in the tunnel.  The
393266002,          
393267000,          
393267001, Wine.        
393267002,          
393267003," A wine tasting event
"
262197000,          
262197001," The building is brown
"
262197002," No, there is not a tree in front of"
262197003," Yes, there is a person riding a bike
"
262197004," No, there are no lights on in the two"
262197005,          
