question_id,answer
262148000," He is looking at the crowd
"
262148001," They are watching the skateboarder
"
262148002," A bench
"
393225000," www.foodporn.com
"
393225001," Yes
"
393225002," Yes
"
393225003," A bowl of noodles
"
393226000," He is crossing the street
"
393226001," 3
"
393226002," Ice cream
"
240301000," The roof is made of metal and the wall is made of wood.
"
240301001," Yes
"
240301002," The cow is laying down because it is tired.
"
131089000," The grass is green
"
131089001," Yes
"
131089002," 1
"
131089003," Yes
"
131089004," Yes
"
262162000," Yes, it is a folding chair.
"
262162001," 1
"
262162002," White
"
262162003," 3
"
262162004," Yes
"
262162005," There are two sources of light in this image.
"
262162006," Yes, it is.
"
262162007," Yes
"
262162008," Yes, the windows are big.
"
262162009," It is a chair
"
262162010," Yes
"
262162011," This is a bedroom
"
262162012," Yes
"
262162013," Yes, it is a hotel room.
"
262162014," Yes
"
262162015," Yes, there are bed headboards present in the photo.
"
262162016," Yes
"
262162017," A bedroom
"
262162018," 3
"
262162019," No, it is not cluttered.
"
262162020," Yes
"
262162021," 2
"
262162022," 3
"
262162023," White
"
262162024," No
"
262162025," Yes, this is a multi-purpose room.
"
262162026," A leopard
"
262162027," A desk and a chair
"
262162028," The bed is a twin size
"
262162029," 3
"
393243000," Yes
"
393243001," A donut
"
393243002," No, the person is not wearing a tie
"
393243003," Brown
"
262175000," No, the tie is green.
"
262175001," The man is standing in a forest
"
262175002," A tie
"
262175003," Yes, it is a tie designed by a man named ""Tie Guy"".
"
131108000," Yes
"
131108001," Inward
"
131108002," Yes, there is a drainage in the pic
"
393254000," This is camping
"
393254001," This is camping, this is ridiculous
"
393254002," This is camping
"
42000," White
"
42001," Yes, there is a red sandal here.
"
42002," white
"
131115000," Yes
"
131115001," Yes
"
131115002," 3
"
262189000," 4
"
262189001," White
"
262189002," land's lane
"
393266000," Red
"
393266001," Yes, you can turn right or left in the tunnel.
"
393266002," Green
"
393267000," It is black
"
393267001," Wine
"
393267002," The people are wearing hats to protect their heads from the sun.
"
393267003," A wine tasting
"
262197000," There are two skyscrapers in the image
"
262197001," brown
"
262197002," Yes, there is a tree in front of the building
"
262197003," Yes
"
262197004," Yes, there are lights on in the two buildings.
"
262197005," 3
"
262197006," No, it is a university.
"
262197007," 3
"
262197008," The building is painted in brown, white, and tan
"
262197009," A backpack
"
262197010," 3
"
262197011," brown
"
393271000," Yes
"
393271001," Yes, it is a photo of multiple exposures of the black clad snowboarder.
"
393271002," There are five people in the picture
"
262200000," Yes
"
262200001," A birthday party
"
262200002," The children are in front of the cake with candles
"
393274000," A train
"
393274001," Yes, the train is parked at the station
"
393274002," Yes
"
393274003," A cast is a plaster mold of a person's foot.
"
393274004," It is a train station
"
393274005," No, there is not smoke coming out of the train.
"
393274006," Yes
"
393274007," Yes
"
131131000," A domestic shorthair cat
"
131131001," lg is the brand of the tv
"
131131002," 3
"
393277000," Yes, there are two tour buses in the image
"
393277001," A clock tower
"
393277002," Yes
"
393277003," 2001
"
393277004," Blue
"
393277005," 10:30
"
393277006," Yes
"
393277007," Yes
"
393277008," It is cloudy.
"
393277009," The building is white
"
393277010," 10:30
"
393277011," Yes
"
393277012," The clock tower in the center of the image
"
393277013," No, it's a clock tower.
"
393277014," No, this is a two way street.
"
393277015," The dome is white
"
393277016," A clock
"
393282000," Yes
"
393282001," There are two giraffes in the image
"
393282002," Yes
"
393282003," 2 giraffes
"
393282004," Yes
"
